[2021-09-24 11:47:33,194] INFO     root         Serving GET for script/moment.js
[2021-09-24 11:47:33,194] INFO     root         Running in e:\Development\git\projects\personal\piclock\src\python\..\web\
[2021-09-24 11:47:33,195] INFO     root         Sending /script/moment.js - type application/javascript
[2021-09-24 11:47:33,197] INFO     root         Serving GET for script/app.js
[2021-09-24 11:47:33,198] INFO     root         Running in e:\Development\git\projects\personal\piclock\src\python\..\web\
[2021-09-24 11:47:33,198] INFO     root         Sending /script/app.js - type application/javascript
[2021-09-24 11:47:33,530] INFO     root         Serving GET for img/bg-1.jpg
[2021-09-24 11:47:33,531] INFO     root         Running in e:\Development\git\projects\personal\piclock\src\python\..\web\
[2021-09-24 11:47:33,531] INFO     root         Sending /img/bg-1.jpg - type image/jpg
[2021-09-24 11:47:33,791] INFO     root         Serving GET for favicon.ico
[2021-09-24 11:47:33,791] INFO     root         Running in e:\Development\git\projects\personal\piclock\src\python\..\web\
[2021-09-24 11:47:56,736] INFO     root         
[2021-09-24 11:47:57,593] INFO     root         Starting web server...
[2021-09-24 11:47:59,378] INFO     root         Serving GET for index.html
[2021-09-24 11:47:59,378] INFO     root         Running in e:\Development\git\projects\personal\piclock\src\python\..\web\
[2021-09-24 11:47:59,379] INFO     root         Sending /index.html - type text/html
[2021-09-24 11:47:59,395] INFO     root         Serving GET for script/jquery.js
[2021-09-24 11:47:59,395] INFO     root         Running in e:\Development\git\projects\personal\piclock\src\python\..\web\
[2021-09-24 11:47:59,396] INFO     root         Sending /script/jquery.js - type application/javascript
[2021-09-24 11:47:59,627] INFO     root         Serving GET for font-awesome.min.css
[2021-09-24 11:47:59,627] INFO     root         Running in e:\Development\git\projects\personal\piclock\src\python\..\web\
[2021-09-24 11:47:59,628] INFO     root         Sending /font-awesome.min.css - type text/css
[2021-09-24 11:47:59,707] INFO     root         Serving GET for screen.css
[2021-09-24 11:47:59,707] INFO     root         Running in e:\Development\git\projects\personal\piclock\src\python\..\web\
[2021-09-24 11:47:59,708] INFO     root         Sending /screen.css - type text/css
